Gene_ID,logFC,logCPM,LR,PValue,FDR
ENSRNOG00000000044,-0.097123852,5.025894292,0.982127319,0.321674169,0.780907032
ENSRNOG00000048222,0.677791632,-2.426692553,0.981990446,0.321707891,0.780907032
ENSRNOG00000056193,1.090634533,-3.133854595,0.98196243,0.321714794,0.780907032
ENSRNOG00000018972,0.088938524,6.699013619,0.981498351,0.321829167,0.781083714
ENSRNOG00000010418,-0.107493117,5.307443179,0.981469572,0.321836262,0.781083714
ENSRNOG00000053533,-1.332591033,-3.380463046,0.981236971,0.321893609,0.781083714
ENSRNOG00000059468,-1.332591033,-3.380463046,0.981236971,0.321893609,0.781083714
ENSRNOG00000007793,0.091843498,6.145511964,0.981185302,0.321906349,0.781083714
ENSRNOG00000060615,-0.142860709,5.621872731,0.980928521,0.321969677,0.78117973
ENSRNOG00000048747,0.095025343,5.67797972,0.980038302,0.32218935,0.781655039
ENSRNOG00000036866,-0.091344301,6.361491915,0.979692195,0.32227481,0.781804691
ENSRNOG00000010985,0.096836741,5.941825384,0.979303442,0.322370836,0.781979949
ENSRNOG00000016751,0.09934594,4.781712314,0.978423704,0.322588278,0.782449683
ENSRNOG00000033051,0.11943151,3.570291818,0.978005329,0.322691755,0.78264294
ENSRNOG00000019162,0.207810912,1.88577953,0.977328451,0.32285926,0.782991448
ENSRNOG00000011977,-0.732179958,-2.335633154,0.976542663,0.32305386,0.783374676
ENSRNOG00000002275,0.099699478,6.524272516,0.976497996,0.323064927,0.783374676
ENSRNOG00000021984,0.236300586,2.846374903,0.975805078,0.323236664,0.783733315
ENSRNOG00000007133,0.08788715,8.016379814,0.975290261,0.323364337,0.783896375
ENSRNOG00000033099,-0.455739435,-1.571872542,0.975282841,0.323366178,0.783896375
ENSRNOG00000039743,-0.821304273,-2.856690524,0.975149454,0.323399269,0.783896375
ENSRNOG00000010708,-1.327739025,-3.380575508,0.97501857,0.323431743,0.783896375
ENSRNOG00000054131,-1.327739025,-3.380575508,0.97501857,0.323431743,0.783896375
ENSRNOG00000019689,-1.020977775,-2.989317918,0.974881377,0.323465787,0.783896375
